Diagnosis,Specialist,DxGroup
ROTATOR CUFF INJURY,Orthopedist,ShoulderConditions
SCHIZOPHRENIA,Psychiatrist,Schizophrenia
TYPHOID FEVER,InfectiousDiseaseSpecialist,BacterialInfections
ACOUSTIC NEUROMA,Otolaryngologist,OtolaryngologyOther
INGROWN TOENAIL,Dermatologist,DermatologyConditionsOther
INSOMNIA DISORDER,Psychiatrist,InsomniaAndOtherSleepDisorders
INSULIN RESISTANCE,Endocrinologist,MetabolicSyndrome
PELVIC FLOOR DYSFUNCTION,Gynecologist,GynecologyOther
CROHN'S DISEASE,Gastroenterologist,InflammatoryBowelDisease
SLEEP DISORDERS,Psychiatrist,InsomniaAndOtherSleepDisorders
TOOTH SENSITIVITY,Dentist,ToothSensitivity
TRIGGER FINGER,Orthopedist,OrthopedicConditionsOther
DYSMENORRHEA,Gynecologist,Menstrual Conditions
ESOPHAGEAL SPASM,Gastroenterologist,GastrointestinalMotilityDisorders
FUNCTIONAL CONSTIPATION,Gastroenterologist,IBS
IRRITANT DERMATITIS,Dermatologist,Dermatitis
PSORIATIC ARTHRITIS,Rheumatologist,PsoriaticArthritis
BLADDER STONES,Urologist,KidneyStones
ORAL LICHEN PLANUS,Otolaryngologist,OralLesions
VAGINISMUS,Gynecologist,GynecologyOther
VIRAL CONJUNCTIVITIS,Ophthalmologist,Conjunctivitis
FOOD ALLERGY,Allergist,AdverseReactionToAnotherSubstance
SUPRAVENTRICULAR TACHYCARDIA,CardiovascularSpecialist,Arrhythmias
INTERCOSTAL MUSCLE STRAIN,Orthopedist,SprainsAndStrains
METATARSALGIA,Orthopedist,SprainsAndStrains
OSTEOMYELITIS,InfectiousDiseaseSpecialist,BacterialInfections
VULVOVAGINITIS,Gynecologist,VaginalInfections
BRACHIAL PLEXUS INJURY,Orthopedist,OrthopedicConditionsOther
CONGESTIVE HEART FAILURE (CHF),CardiovascularSpecialist,CongestiveHeartFailure
ENDOMETRIAL HYPERPLASIA,Gynecologist,AbnormalUterineBleeding
GILBERT'S SYNDROME,Gastroenterologist,GastroenterologyOther
LIGAMENT SPRAIN,Orthopedist,SprainsAndStrains
NORMAL VARIATION,Generalist,Generalist
VOCAL CORD NODULES,Otolaryngologist,VoiceDisorders
ANOREXIA NERVOSA,Psychiatrist,EatingDisorders
BREAST INFECTION,Gynecologist,SkinAndSoftTissueInfections
PREMATURE VENTRICULAR CONTRACTIONS (PVCS),CardiovascularSpecialist,Arrhythmias
PRESBYOPIA,Ophthalmologist,Refractive Error
URINARY INCONTINENCE,Urologist,Incontinence
VIRAL UPPER RESPIRATORY INFECTION,InfectiousDiseaseSpecialist,RespiratoryTractInfections-upper-viral
AMYOTROPHIC LATERAL SCLEROSIS (ALS),Neurologist,ALS
BREAST CANCER,Generalist,Breast Conditions
THROMBOCYTOPENIA,Hematologist,Thrombocytopenia
BRAIN TUMOR,Neurologist,BrainTumors
INTRADUCTAL PAPILLOMA,Gynecologist,Breast Conditions
LABYRINTHITIS,Otolaryngologist,VertigoAndDizziness
MIGRAINE HEADACHE,Neurologist,Migraine
HERPES SIMPLEX VIRUS,Dermatologist,STIs
PITYRIASIS ALBA,Dermatologist,SkinInfections
RADIAL TUNNEL SYNDROME,Orthopedist,CarpalTunnelSyndrome
UMBILICAL HERNIA,Generalist,Generalist
GASTROINTESTINAL DISTURBANCE,Gastroenterologist,GastroenterologyOther
AUTOIMMUNE DISORDER,Rheumatologist,RheumatologyOther
HEPATITIS B,InfectiousDiseaseSpecialist,Hepatitis
HIP IMPINGEMENT,Orthopedist,OrthopedicConditionsOther
ESSENTIAL HYPERTENSION,CardiovascularSpecialist,Hypertension
LICHEN SCLEROSUS,Dermatologist,DermatologyConditionsOther
RELATIONSHIP ISSUES,Psychiatrist,PsychiatryOther
TESTICULAR CANCER,Urologist,UrologyMenOther
BODY DYSMORPHIC DISORDER,Psychiatrist,ObsessiveCompulsiveDisorder
PERIODONTAL DISEASE,Dentist,PeriodontalDisease
SACROILIAC JOINT DYSFUNCTION,Orthopedist,OrthopedicConditionsOther
SIDE EFFECTS OF MEDICATION,AdverseReactionSpecialist,AdverseReactionToMedication
VITAMIN C DEFICIENCY,Generalist,Generalist
ALLERGIC DERMATITIS,Dermatologist,DermatologicalAllergies
ATTENTION DEFICIT HYPERACTIVITY DISORDER,Psychiatrist,ADHD
ELECTROLYTE IMBALANCE,Endocrinologist,MetabolicSyndrome
GLOSSITIS,Otolaryngologist,OralLesions
PRIMARY DYSMENORRHEA,Gynecologist,AbnormalUterineBleeding
ACUTE SINUSITIS,Otolaryngologist,Sinusitis
HYPERPROLACTINEMIA,Endocrinologist,PituitaryGlandDisorders
KERATOSIS PILARIS,Dermatologist,DermatologyConditionsOther
OBSESSIVE-COMPULSIVE DISORDER,Psychiatrist,ObsessiveCompulsiveDisorder
OCULAR MIGRAINE,Neurologist,Migraine
SHINGLES,Dermatologist,SkinInfections
TOOTH ABSCESS,Dentist,ToothAbscess
ANXIETY-RELATED SYMPTOMS,Psychiatrist,GeneralizedAnxietyDisorder
CATARACTS,Ophthalmologist,Cataract
ESOPHAGEAL CANCER,Gastroenterologist,GastroenterologyOther
NERVE COMPRESSION,Orthopedist,OrthopedicConditionsOther
STRESS OR EMOTIONAL FACTORS,Psychiatrist,AnxietyDisorders
TEMPOROMANDIBULAR JOINT DISORDER,Dentist,TemporomandibularJointDisordersDental
TRANSIENT ISCHEMIC ATTACK (TIA),CardiovascularSpecialist,Stroke
VULVOVAGINAL CANDIDIASIS,Gynecologist,VaginalInfections
DIABETIC KETOACIDOSIS,Endocrinologist,DiabetesMellitus
"HAND, FOOT, AND MOUTH DISEASE",Pediatrician,SkinAndSoftTissueInfections
NERVE DAMAGE,Neurologist,Neuropathy
REFRACTIVE ERROR,Ophthalmologist,Refractive Error
SEASONAL ALLERGIES,Allergist,AllergicRhinitis
TONSIL STONES,Otolaryngologist,OtolaryngologyOther
VITAMIN B12 DEFICIENCY ANEMIA,Hematologist,Anemia
KNEE SPRAIN,Orthopedist,SprainsAndStrains
PERITONSILLAR ABSCESS,Otolaryngologist,OralInfections
STRESS OR LIFESTYLE CHANGES,Psychiatrist,AnxietyDisorders
ANXIETY-RELATED CHEST PAIN,CardiovascularSpecialist,AnxietyDisorders
CONSTITUTIONAL GROWTH DELAY,Endocrinologist,GrowthHormoneDisorders
PARAPHIMOSIS,Urologist,UrologyMenOther
PATELLOFEMORAL PAIN SYNDROME (PFPS),Orthopedist,PatellofemoralPainSyndrome
ADRENAL INSUFFICIENCY,Endocrinologist,AdrenalGlandDisorders
FRACTURE,Orthopedist,Fractures
GASTROINTESTINAL UPSET,Gastroenterologist,GastroenterologyOther
GRAVES' DISEASE,Endocrinologist,ThyroidDisorders
ORAL HERPES,Otolaryngologist,OralInfections
SHOULDER IMPINGEMENT,Orthopedist,ShoulderConditions
APHTHOUS ULCERS,Otolaryngologist,OralLesions
AUTOIMMUNE HEPATITIS,Gastroenterologist,Hepatitis
CAT SCRATCH DISEASE,InfectiousDiseaseSpecialist,ZoonoticDiseases
HEMOPHILIA,Hematologist,HemophiliaAndBleedingDisorders
HIP LABRAL TEAR,Orthopedist,Hipdisorders
LIVER CIRRHOSIS,Gastroenterologist,Cirrhosis
MIGRAINE-ASSOCIATED VERTIGO,Otolaryngologist,VertigoAndDizziness
POST-TRAUMATIC HEADACHE,Neurologist,HeadacheOther
SEMINAL VESICULITIS,Urologist,UrologyMenOther
SHIN SPLINTS,Orthopedist,SprainsAndStrains
VARICOSE VEINS,Generalist,Generalist
ATOPIC DERMATITIS (ECZEMA),Dermatologist,Dermatitis
AUTISM SPECTRUM DISORDER (ASD),Psychiatrist,AutismSpectrumDisorders
CANKER SORES,Otolaryngologist,OralLesions
POLYCYTHEMIA VERA,Hematologist,MyeloproliferativeDisorders
PRIAPISM,Urologist,ErectileDysfunction
CAFFEINE SENSITIVITY,Generalist,Generalist
GIARDIASIS,Gastroenterologist,GastrointestinalInfections
HIP OSTEOARTHRITIS,Rheumatologist,OsteoarthritisRheumatology
MYOCARDIAL INFARCTION,CardiovascularSpecialist,HeartAttack
SPRAIN,Orthopedist,SprainsAndStrains
ANAL FISTULA,Gastroenterologist,AnalandRectalConditions
DYSHIDROTIC ECZEMA,Dermatologist,Eczema
EXERCISE-INDUCED BRONCHOCONSTRICTION,Pulmonologist,Asthma
OBESITY,Generalist,Obesity
OBSTRUCTIVE SLEEP APNEA,Pulmonologist,SleepApnea
PHOTOPHOBIA,Ophthalmologist,OphthalmologyOther
STOMACH FLU,Gastroenterologist,Gastroenteritis
VESTIBULAR NEURITIS,Otolaryngologist,VertigoAndDizziness
ALCOHOLIC LIVER DISEASE,Gastroenterologist,GastroenterologyOther
CHEMICAL BURN,Dermatologist,DermatologyConditionsOther
DRUG-INDUCED LIVER INJURY,Gastroenterologist,GastroenterologyOther
POSTURAL ORTHOSTATIC TACHYCARDIA SYNDROME,CardiovascularSpecialist,Syncope
PROCTITIS,Gastroenterologist,InflammatoryBowelDisease
PULMONARY EDEMA,CardiovascularSpecialist,CongestiveHeartFailure
SIDE EFFECTS OF EMERGENCY CONTRACEPTIVE PILL,Gynecologist,GynecologyOther
GALACTORRHEA,Endocrinologist,EndocrinologyOther
PERICORONITIS,Dentist,OralInfections
PREMENSTRUAL SYNDROME,Gynecologist,Menstrual Conditions
RAZOR BURN,Dermatologist,DermatologyConditionsOther
SPINAL CORD INJURY,Orthopedist,OrthopedicConditionsOther
ARTHRITIS,Rheumatologist,RheumatologyOther
BASAL CELL CARCINOMA,Dermatologist,BasalCellCarcinoma
HASHIMOTO'S THYROIDITIS,Endocrinologist,ThyroidDisorders
NOROVIRUS INFECTION,Gastroenterologist,GastrointestinalInfections
RADICULOPATHY,Orthopedist,OrthopedicConditionsOther
SEDENTARY LIFESTYLE,Generalist,Generalist
THYROID CANCER,Endocrinologist,EndocrinologyOther
BREAKTHROUGH BLEEDING,Gynecologist,AbnormalUterineBleeding
CHRONIC STRESS,Psychiatrist,AnxietyDisorders
ERYSIPELAS,Dermatologist,SkinAndSoftTissueInfections
HYPERCHOLESTEROLEMIA,CardiovascularSpecialist,Hyperlipidemia
HYPERTROPHIC SCAR,Dermatologist,DermatologyConditionsOther
SMALL INTESTINAL BACTERIAL OVERGROWTH (SIBO),Gastroenterologist,MalabsorptionSyndromes
STRESS-INDUCED ACNE,Dermatologist,Acne
THYROID NODULES,Endocrinologist,ThyroidNodules
VAGINAL TRAUMA,Gynecologist,GynecologyOther
ACUTE PHARYNGITIS,Otolaryngologist,Pharygitis
CHALAZION,Ophthalmologist,EyelidCondition
CIRRHOSIS,Gastroenterologist,Cirrhosis
LENTIGO,Dermatologist,Rash
MACULAR DEGENERATION,Ophthalmologist,RetinalCondition
MIGRAINE HEADACHES,Neurologist,Migraine
POLYMYALGIA RHEUMATICA,Rheumatologist,PolymyalgiaRheumatica
SEASONAL AFFECTIVE DISORDER,Psychiatrist,Depression
THYROID DISORDERS,Endocrinologist,ThyroidDisorders
TINEA CRURIS,Dermatologist,SkinInfections
CRACKED TOOTH,Dentist,ToothFracturesOrTrauma
DRY MOUTH,Otolaryngologist,OralLesions
DRY SCALP,Dermatologist,DermatologyConditionsOther
LARYNGOPHARYNGEAL REFLUX,Gastroenterologist,GERD
NORMAL VAGINAL DISCHARGE,Gynecologist,VaginalInfections
OCCIPITAL NEURALGIA,Neurologist,HeadacheOther
ORAL CANCER,Otolaryngologist,OtolaryngologyOther
POSTPRANDIAL HYPOTENSION,CardiovascularSpecialist,Hypotension
STRESS-RELATED MENSTRUAL IRREGULARITIES,Gynecologist,AbnormalUterineBleeding
SYSTEMIC LUPUS ERYTHEMATOSUS (SLE),Rheumatologist,SystemicLupusErythematosus
TINEA CORPORIS,Dermatologist,SkinInfections
TINEA CORPORIS (RINGWORM),Dermatologist,SkinInfections
ALLERGIES,Allergist,AllergicRhinitis
BURNING MOUTH SYNDROME,Otolaryngologist,OralLesions
COCCYDYNIA,Orthopedist,OrthopedicConditionsOther
EDEMA,CardiovascularSpecialist,CardiovascularOther
JAUNDICE,Generalist,Generalist
MALABSORPTION,Gastroenterologist,MalabsorptionSyndromes
RETROGRADE EJACULATION,Urologist,UrologyMenOther
RINGWORM,Dermatologist,SkinInfections
SCARLET FEVER,InfectiousDiseaseSpecialist,BacterialInfections
SIDE EFFECT OF MEDICATION,AdverseReactionSpecialist,AdverseReactionToMedication
TRAUMATIC BRAIN INJURY,Neurologist,TraumaticBrainInjury
ANTIBIOTIC-ASSOCIATED DIARRHEA,Gastroenterologist,Diarrhea
COMPARTMENT SYNDROME,Orthopedist,OrthopedicConditionsOther
EAR INFECTION,Otolaryngologist,EarInfections
GLOMERULONEPHRITIS,RenalSpecialist,Glomerulonephritis
GUM DISEASE,Dentist,PeriodontalDisease
METABOLIC SYNDROME,Endocrinologist,MetabolicSyndrome
NARCOLEPSY,Neurologist,NeurologyConditionsOther
SENSORINEURAL HEARING LOSS,Otolaryngologist,HearingLoss
SENSORY PROCESSING DISORDER,Neurologist,NeurologyConditionsOther
SEPTIC ARTHRITIS,Orthopedist,OrthopedicConditionsOther
SOCIAL ANXIETY DISORDER (SAD),Psychiatrist,AnxietyDisorders
UVEITIS,Ophthalmologist,Uveitis
VAGINITIS,Gynecologist,VaginalInfections
ACHILLES TENDONITIS,Orthopedist,Tendonitis
CHRONIC CONSTIPATION,Gastroenterologist,GastrointestinalMotilityDisorders
FAMILIAL SHORT STATURE,Endocrinologist,GrowthHormoneDisorders
GESTATIONAL DIABETES,Endocrinologist,DiabetesMellitus
GROIN STRAIN,Orthopedist,SprainsAndStrains
LUMBAR MUSCLE STRAIN,Orthopedist,SprainsAndStrains
SUBUNGUAL HEMATOMA,Otolaryngologist,OralLesions
TRICHOTILLOMANIA,Psychiatrist,ObsessiveCompulsiveDisorder
VON WILLEBRAND DISEASE,Hematologist,HemophiliaAndBleedingDisorders
BRONCHIOLITIS,Pediatrician,PediatricBronchiolitis
CHIKUNGUNYA,InfectiousDiseaseSpecialist,VectorBorneDiseases
CHRONIC LARYNGITIS,Otolaryngologist,Laryngitis
HERPES,InfectiousDiseaseSpecialist,STIs
MEASLES,InfectiousDiseaseSpecialist,InfectiousDiseasesOther
PITYRIASIS ROSEA,Dermatologist,Rash
POST-INFLAMMATORY HYPOPIGMENTATION,Dermatologist,Rash
SPECIFIC PHOBIA,Psychiatrist,PsychiatryOther
SPINAL CORD COMPRESSION,Neurologist,NeurologyConditionsOther
SUBCONJUNCTIVAL HEMORRHAGE,Ophthalmologist,EyeTrauma
SUPRAVENTRICULAR TACHYCARDIA (SVT),CardiovascularSpecialist,Arrhythmias
VAGINAL IRRITATION,Gynecologist,GynecologyOther
VAGINAL TEAR,Gynecologist,GynecologyOther
BACTERIAL CONJUNCTIVITIS,Ophthalmologist,Conjunctivitis
CAUDA EQUINA SYNDROME,Neurologist,NeurologyConditionsOther
CHRONIC VENOUS INSUFFICIENCY,CardiovascularSpecialist,CardiovascularOther
ERYTHEMA MULTIFORME,Dermatologist,Rash
EXERCISE-INDUCED BRONCHOCONSTRICTION (EIB),Pulmonologist,Asthma
HEART ATTACK,CardiovascularSpecialist,HeartAttack
ILIOTIBIAL BAND SYNDROME,Orthopedist,IliotibialBandSyndrome
INSECT BITE REACTION,Dermatologist,Rash
RHEUMATOID ARTHRITIS (RA),Rheumatologist,RheumatoidArthritis
VESTIBULAR DYSFUNCTION,Otolaryngologist,VertigoAndDizziness
VIRAL FEVER,InfectiousDiseaseSpecialist,InfectiousDiseasesOther
ALCOHOL-INDUCED GASTRITIS,Gastroenterologist,Gastritis 
ANKLE FRACTURE,Orthopedist,Fractures
APHTHOUS STOMATITIS,Otolaryngologist,OralLesions
ATRIAL FIBRILLATION (AFIB),CardiovascularSpecialist,Arrhythmias
CERUMEN IMPACTION,Otolaryngologist,EarwaxBlockage
CHICKENPOX,InfectiousDiseaseSpecialist,InfectiousDiseasesOther
CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD) EXACERBATION,Pulmonologist,ChronicObstructivePulmonaryDisease
DIGITAL EYE STRAIN,Ophthalmologist,OphthalmologyOther
HAMSTRING STRAIN,Orthopedist,SprainsAndStrains
HIRSUTISM,Endocrinologist,EndocrinologyOther
HIV/AIDS,InfectiousDiseaseSpecialist,HIV_AIDS
THALASSEMIA,Hematologist,Hemoglobinopathies
ACNE SCARS,Dermatologist,Acne
ALLERGIC COUGH,Pulmonologist,Cough
AUTISM SPECTRUM DISORDER,Psychiatrist,AutismSpectrumDisorders
CERVICAL SPINAL STENOSIS,Orthopedist,OrthopedicConditionsOther
CYSTITIS,Urologist,UTIs
EPIDERMOID CYST,Dermatologist,DermatologyConditionsOther
FAMILIAL HYPERCHOLESTEROLEMIA,Endocrinologist,Hyperlipidemia
FRENULUM BREVE,Urologist,UrologyMenOther
HEMATURIA,Urologist,UrologyMenOther
HEMIFACIAL SPASM,Neurologist,NeurologyConditionsOther
MASTOIDITIS,Otolaryngologist,OtolaryngologyOther
NONALCOHOLIC FATTY LIVER DISEASE (NAFLD),Gastroenterologist,NonAlcoholicFattyLiverDisease
OPPOSITIONAL DEFIANT DISORDER,Psychiatrist,PsychiatryOther
PAROTITIS,Otolaryngologist,OtolaryngologyOther
PERIPHERAL ARTERIAL DISEASE (PAD),CardiovascularSpecialist,PeripheralArteryDisease
PREDIABETES,Endocrinologist,DiabetesMellitus
SCOLIOSIS,Orthopedist,Scoliosis
SOLAR LENTIGINES,Dermatologist,Rash
VIRAL HEPATITIS,Gastroenterologist,Hepatitis
CHRONIC TONSILLITIS,Otolaryngologist,Tonsillitis
INGROWN HAIR,Dermatologist,DermatologyConditionsOther
MILD COGNITIVE IMPAIRMENT,Neurologist,NeurologyConditionsOther
NUTRITIONAL DEFICIENCIES,Generalist,Generalist
ORAL CANDIDIASIS,Otolaryngologist,FungalInfections
PLACENTA PREVIA,Obstetrician,PregnancyConditions
THORACIC DISC HERNIATION,Orthopedist,BackPain
URETHRAL STRICTURE,Urologist,UrologyMenOther
ACTINIC KERATOSIS,Dermatologist,SkinCancer
BRUXISM,Dentist,TemporomandibularJointDisordersDental
CLAVICLE FRACTURE,Orthopedist,Fractures
COLD SORE,Otolaryngologist,OralLesions
DIABETIC NEPHROPATHY,RenalSpecialist,DiabeticNephropathy
DUCTAL ECTASIA,Gynecologist,Breast Conditions
DYSFUNCTIONAL UTERINE BLEEDING,Gynecologist,AbnormalUterineBleeding
FRACTURED ANKLE,Orthopedist,Fractures
FURUNCLE (BOIL),Dermatologist,SkinInfections
GROWTH HORMONE DEFICIENCY,Endocrinologist,GrowthHormoneDisorders
HEEL SPUR,Orthopedist,OrthopedicConditionsOther
RETINAL MIGRAINE,Neurologist,Migraine
TOOTH FRACTURE,Dentist,ToothFracturesOrTrauma
TRAUMATIC ULCER,Dermatologist,DermatologyConditionsOther
VIRAL EXANTHEM,Dermatologist,Rash
BRONCHIECTASIS,Pulmonologist,PulmonologyOther
EHLERS-DANLOS SYNDROME (EDS),Rheumatologist,RheumatologyOther
ENDOMETRITIS,Gynecologist,Endometriosis
HYPOACTIVE SEXUAL DESIRE DISORDER,Psychiatrist,PsychiatryOther
INFLAMMATORY BOWEL DISEASE (CROHN'S DISEASE OR ULCERATIVE COLITIS),Gastroenterologist,InflammatoryBowelDisease
INNER EAR INFECTION,Otolaryngologist,EarInfections
PETECHIAE,Hematologist,HematologyOther
PUBIC LICE,Dermatologist,SkinInfections
REACTIVE HYPOGLYCEMIA,Endocrinologist,Hypoglycemia
SARCOIDOSIS,Pulmonologist,PulmonologyOther
SLEEP DISTURBANCE,Psychiatrist,InsomniaAndOtherSleepDisorders
STRESS OR HORMONAL IMBALANCE,Endocrinologist,AnxietyDisorders
VESTIBULAR DISORDER,Otolaryngologist,VertigoAndDizziness
ALCOHOLIC HEPATITIS,Gastroenterologist,Hepatitis
ANOVULATION,Gynecologist,GynecologyOther
BRAXTON HICKS CONTRACTIONS,Obstetrician,PregnancyConditions
GASTROINTESTINAL DISORDERS,Gastroenterologist,GastroenterologyOther
HYPERGLYCEMIA,Endocrinologist,DiabetesMellitus
INTERMITTENT EXPLOSIVE DISORDER,Psychiatrist,PsychiatryOther
INTESTINAL OBSTRUCTION,Gastroenterologist,GastroenterologyOther
OVARIAN CANCER,Gynecologist,GynecologyOther
PULMONARY EMBOLISM (PE),Pulmonologist,PulmonaryEmbolism
RECTAL PROLAPSE,Gastroenterologist,AnalandRectalConditions
RESPIRATORY TRACT INFECTION,InfectiousDiseaseSpecialist,RespiratoryTractInfections
RIB CONTUSION,Orthopedist,SprainsAndStrains
SEBACEOUS CYSTS,Dermatologist,DermatologyConditionsOther
UNEXPLAINED INFERTILITY,Gynecologist,GynecologyOther
UTERINE POLYPS,Gynecologist,GynecologyOther
ACNE ROSACEA,Dermatologist,Rosacea
ACNE SCARRING,Dermatologist,Acne
ANDROGENETIC ALOPECIA (MALE PATTERN BALDNESS),Dermatologist,Alopecia
BAKER'S CYST,Orthopedist,BakersCyst
CHOLECYSTITIS,Gastroenterologist,Gallstones
COMPLEX REGIONAL PAIN SYNDROME (CRPS),Generalist,Generalist
EYESTRAIN,Ophthalmologist,OphthalmologyOther
GUM INFECTION,Dentist,OralInfections
HERPANGINA,Dermatologist,SkinInfections
HYPERCALCEMIA,Endocrinologist,EndocrinologyOther
PREMATURE VENTRICULAR CONTRACTIONS,CardiovascularSpecialist,Arrhythmias
REACTIVE LYMPHADENOPATHY,Generalist,Generalist
SIDE EFFECT OF EMERGENCY CONTRACEPTIVE PILL,Gynecologist,AdverseReactionToMedication
WOUND INFECTION,Specialist,SkinAndSoftTissueInfections
XEROSIS,Dermatologist,DermatologyConditionsOther
CHRONIC KIDNEY DISEASE (CKD),RenalSpecialist,ChronicKidneyDisease
CORONARY ARTERY DISEASE (CAD),CardiovascularSpecialist,CoronaryArteryDisease
EARLY PREGNANCY,Obstetrician,PregnancyConditions
INSECT BITES,Dermatologist,DermatologyConditionsOther
MAMMARY DUCT ECTASIA,Gynecologist,Breast Conditions
POSTERIOR VITREOUS DETACHMENT,Ophthalmologist,EyeVitreousCondition
PULMONARY FIBROSIS,Pulmonologist,PulmonologyOther
RESTLESS LEGS SYNDROME (RLS),Neurologist,RestlessLegsSyndrome
SENSORY PROCESSING DISORDER (SPD),Neurologist,NeurologyConditionsOther
ULCERATIVE COLITIS,Gastroenterologist,InflammatoryBowelDisease
ALLERGIC ASTHMA,Pulmonologist,Asthma
ANTERIOR CRUCIATE LIGAMENT (ACL) INJURY,Orthopedist,Knee Conditions
APLASTIC ANEMIA,Hematologist,BoneMarrowDisorders
DIABETIC RETINOPATHY,Ophthalmologist,RetinalCondition
DRY EYES,Ophthalmologist,SjogrensSyndrome
HYPERLIPIDEMIA,CardiovascularSpecialist,Hyperlipidemia
HYPOCHONDRIASIS,Psychiatrist,AnxietyDisorders
HYPOTHALAMIC AMENORRHEA,Endocrinologist,Amennorrhea
INCISIONAL HERNIA,Generalist,Generalist
MITRAL VALVE PROLAPSE (MVP),CardiovascularSpecialist,MitralValveProlapse
MUSCLE CRAMPS,Orthopedist,SprainsAndStrains
PENILE FRACTURE,Urologist,UrologyMenOther
PERIORAL DERMATITIS,Dermatologist,Dermatitis
PULPITIS,Dentist,Toothache
SIALADENITIS,Otolaryngologist,SalivaryGlandDisorders
TRAUMATIC INJURY,Generalist,Generalist
BORDERLINE PERSONALITY DISORDER (BPD),Psychiatrist,PersonalityDisordersOther
DEHYDRATION HEADACHE,Neurologist,HeadacheOther
ENAMEL HYPOPLASIA,Dentist,DentalDisordersOther
GALLBLADDER ISSUES,Gastroenterologist,BiliaryIssues
GENITAL WART,Dermatologist,Warts
HEMOLYTIC ANEMIA,Hematologist,Anemia
HYPERTENSION (HIGH BLOOD PRESSURE),CardiovascularSpecialist,Hypertension
HYPOCHONDRIA,Psychiatrist,AnxietyDisorders
HYPOTHERMIA,Generalist,Generalist
IDIOPATHIC SHORT STATURE,Endocrinologist,GrowthHormoneDisorders
KIDNEY STONES (NEPHROLITHIASIS),Urologist,KidneyStones
LENTIGINES,Dermatologist,DermatologyConditionsOther
MALOCCLUSION,Dentist,Malocclusion
NICOTINE WITHDRAWAL,SubstanceUseDisorderSpecialist,SubstanceUseOther
NON-SPECIFIC URETHRITIS,Urologist,UrologyMenOther
ORAL ALLERGY SYNDROME,Allergist,AllergicReaction
PREMATURE GRAYING OF HAIR,Dermatologist,DermatologyConditionsOther
SACROILIITIS,Rheumatologist,BackPain
STRESS-RELATED GASTROINTESTINAL ISSUES,Psychiatrist,AnxietyDisorders
SWIMMER'S EAR,Otolaryngologist,EarInfections
ACUTE KIDNEY INJURY,RenalSpecialist,AcuteKidneyInjury
ANXIETY-INDUCED NAUSEA,Psychiatrist,AnxietyDisorders
CANKER SORE,Otolaryngologist,OralLesions
CHOLESTEATOMA,Otolaryngologist,OtolaryngologyOther
CLUSTER HEADACHES,Neurologist,HeadacheOther
COLD URTICARIA,Dermatologist,Hives
CONGENITAL PENILE CURVATURE,Urologist,UrologyMenOther
DISSOCIATIVE IDENTITY DISORDER,Psychiatrist,DissociativeConditions
DRUG REACTION,AdverseReactionSpecialist,AdverseReactionToMedication
DYSTONIA,Neurologist,NeurologyConditionsOther
GASTROINTESTINAL (GI) DISTURBANCE,Gastroenterologist,GastroenterologyOther
HERPES ZOSTER,Dermatologist,SkinInfections
HIP FLEXOR STRAIN,Orthopedist,SprainsAndStrains
LOW TESTOSTERONE,Endocrinologist,EndocrinologyOther
MENSTRUAL MIGRAINE,Neurologist,Migraine
MILIARIA,Dermatologist,Rash
MUSCLE SPASM,Orthopedist,SprainsAndStrains
NAIL PSORIASIS,Dermatologist,Psoriasis
NERVE IRRITATION,Neurologist,Neuropathy
PANCREATIC CANCER,Gastroenterologist,GastrointestinalMotilityDisorders
PARASITIC INFECTION,InfectiousDiseaseSpecialist,ParasiticInfections
PERIMENOPAUSE,Gynecologist,Menopause
PREMATURE RUPTURE OF MEMBRANES (PROM),Obstetrician,PregnancyConditions
PROTEINURIA,RenalSpecialist,RenalOther
PRURITUS,Dermatologist,Pruritus
SECOND-DEGREE BURN,Dermatologist,DermatologyConditionsOther
STRABISMUS,Ophthalmologist,EyeMisalignment
TRAUMA OR INJURY,Generalist,Generalist
VIRAL RESPIRATORY INFECTION,InfectiousDiseaseSpecialist,RespiratoryTractInfections-upper-viral
WHITE COAT HYPERTENSION,CardiovascularSpecialist,Hypertension
ALCOHOL INTOLERANCE,Generalist,Generalist
ANXIETY OR STRESS-RELATED CHEST PAIN,Psychiatrist,AnxietyDisorders
ANXIETY OR STRESS-RELATED TREMOR,Psychiatrist,AnxietyDisorders
AVOIDANT PERSONALITY DISORDER,Psychiatrist,PersonalityDisordersOther
BENIGN ESSENTIAL BLEPHAROSPASM,Ophthalmologist,EyelidCondition
BLADDER OUTLET OBSTRUCTION,Urologist,UrologyMenOther
CERVICAL VERTIGO,Neurologist,VertigoAndDizziness
CHRONIC IDIOPATHIC URTICARIA,Dermatologist,Hives
DEPERSONALIZATION DISORDER,Psychiatrist,DissociativeDisorders
DIABETES MELLITUS,Endocrinologist,DiabetesMellitus
